epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1294,0.00612,0.01897,3.19895,0.84942,0.81334,0.14099,0.27269,0.1989,0.74162,0.13741,0.26258,0.20885,0.007,0.01495,2.93186,0.82004,0.000244318,0.000244318,0.000244318
2,33.4569,0.006,0.01388,2.06891,0.81208,0.68211,0.52033,0.59276,0.44337,0.64198,0.51989,0.59149,0.44943,0.00658,0.01266,1.87934,0.74631,0.000493835,0.000493835,0.000493835
3,47.909,0.00663,0.01473,2.01892,0.83857,0.73637,0.5416,0.5791,0.41456,0.66477,0.53966,0.57672,0.43241,0.00731,0.01389,1.815,0.90757,0.000741413,0.000741413,0.000741413
4,65.263,0.00735,0.01429,2.03284,0.88293,0.69533,0.54711,0.59632,0.44004,0.6609,0.54444,0.59128,0.41916,0.00695,0.01406,1.78042,0.8127,0.0009856,0.0009856,0.0009856
5,80.0036,0.00748,0.01368,1.88451,0.88768,0.71334,0.51794,0.57468,0.39755,0.61976,0.50752,0.56484,0.38972,0.00744,0.01315,1.67172,0.78,0.00122497,0.00122497,0.00122497
6,94.3753,0.00741,0.01422,1.8417,0.8745,0.56794,0.41609,0.42685,0.29238,0.5258,0.41157,0.42265,0.28568,0.00749,0.01608,1.96493,0.76794,0.00121972,0.00121972,0.00121972
7,109.089,0.00719,0.01484,1.76224,0.86915,0.66406,0.41615,0.51215,0.36626,0.60748,0.41516,0.49592,0.34054,0.00733,0.01626,2.15944,0.83543,0.00120655,0.00120655,0.00120655
8,124.3,0.0074,0.01464,1.69926,0.88198,0.7464,0.526,0.61174,0.43697,0.60429,0.52143,0.60135,0.45124,0.00759,0.01442,1.74776,0.78998,0.00119111,0.00119111,0.00119111
9,139.169,0.0071,0.01393,1.59708,0.86353,0.84506,0.59441,0.62712,0.49029,0.77831,0.58215,0.61765,0.46565,0.00628,0.01232,1.19623,0.70066,0.00117346,0.00117346,0.00117346
10,154.064,0.00674,0.01329,1.48743,0.83923,0.93061,0.60859,0.64277,0.50741,0.86809,0.60623,0.63714,0.51905,0.00609,0.01062,1.00166,0.68734,0.00115368,0.00115368,0.00115368
